,Unnamed: 0,Name,Category,total_revenue2018,total_revenue2019,total_revenue2020,operating_income2018,operating_income2019,operating_income2020,net_income2018,net_income2019,net_income2020,diluted_EPS2018,diluted_EPS2019,diluted_EPS2020,EBITDA2018,EBITDA2019,EBITDA2020,total_assets2018,total_assets2019,total_assets2020,total_liability2018,total_liability2019,total_liability2020,total_equity2018,total_equity2019,total_equity2020,total_liability_shareholders2018,total_liability_shareholders2019,total_liability_shareholders2020,total_debt2018,total_debt2019,total_debt2020,book_value2018,book_value2019,book_value2020,cash_operating2018,cash_operating2019,cash_operating2020,cash_investing2018,cash_investing2019,cash_investing2020,cash_financing2018,cash_financing2019,cash_financing2020,free_cash_flow2018,free_cash_flow2019,free_cash_flow2020,price_to_earning2018,price_to_earning2019,price_to_earning2020,price_to_sales2018,price_to_sales2019,price_to_sales2020,price_to_cash_flow2018,price_to_cash_flow2019,price_to_cash_flow2020,price_to_book2018,price_to_book2019,price_to_book2020,entreprise_value2018,entreprise_value2019,entreprise_value2020,entreprise_value_EBITDA2018,entreprise_value_EBITDA2019,entreprise_value_EBITDA2020,return_asset2018,return_asset2019,return_asset2020,return_equity2018,return_equity2019,return_equity2020,return_capital2018,return_capital2019,return_capital2020,gross_margin2018,gross_margin2019,gross_margin2020,operating_margin2018,operating_margin2019,operating_margin2020,EBITDA_margin2018,EBITDA_margin2019,EBITDA_margin2020,net_margin2018,net_margin2019,net_margin2020,quick_ratio2018,quick_ratio2019,quick_ratio2020,current_ratio2018,current_ratio2019,current_ratio2020,inventory_turnover2018,inventory_turnover2019,inventory_turnover2020,asset_turnover2018,asset_turnover2019,asset_turnover2020,debt_assets2018,debt_assets2019,debt_assets2020,debt_equity2018,debt_equity2019,debt_equity2020,long_term_debt2018,long_term_debt2019,long_term_debt2020
0,0,ABEO,PharmaG,3.00M,0,10.00M,58.17M,77.09M,48.50M,56.67M,76.28M,84.23M,1.19,1.51,1.19,55.81M,68.41M,42.90M,174.40M,223.38M,151.20M,40.35M,44.95M,48.65M,134.04M,178.43M,102.55M,174.40M,223.38M,151.20M,0,7.95M,8.73M,2.8,2.13,1.07,39.11M,62.82M,35.02M,85.09M,59.98M,83.71M,5.48M,113.90M,1.94M,48.35M,69.13M,36.35M,,,,113.19,,14.55,,,,2.55,1.53,1.47,254.38M,43.35M,59.18M,,,,32.09,38.35,44.98,37.27,48.82,59.96,37.27,47.87,57.32,,,,1.94K,,485.04,1.86K,,429.03,1.89K,,842.34,4.37,3.42,2.33,4.37,3.42,2.33,,,,0.02,0,0.05,0,0.04,0.06,0,0.04,0.09,0,0.03,0.04
1,1,COCP,PharmaG,0,6.56M,2.01M,9.02M,2.30M,9.59M,49.05M,48.17M,9.65M,1.75,1.51,1.75,8.97M,2.05M,9.25M,88.34M,28.53M,54.24M,21.45M,2.82M,1.74M,66.89M,25.71M,52.51M,88.34M,28.53M,54.24M,331.00K,817.00K,596.00K,2.23,0.73,0.75,8.29M,1.56M,9.83M,1.37M,145.00K,240.00K,8.89M,6.42M,35.66M,8.32M,1.71M,10.07M,,,,,2.4,37.29,,,,1.61,0.68,1.82,98.41M,9.14M,42.63M,,,,46.7,82.43,23.31,56.94,104.04,24.67,56.57,103.31,24.39,,,,,35.09,475.97,,31.22,459.29,,733.84,479.05,1.89,3.62,25.05,1.89,3.62,25.05,,,,0,0.11,0.05,0,0.03,0.01,0,0.03,0.01,0,0.02,0.01
2,2,CPHI,PharmaG,12.33M,10.92M,10.87M,3.97M,3.39M,2.58M,10.75M,20.70M,2.87M,0.25,0.47,0.25,709.62K,463.94K,101.18K,45.38M,22.24M,21.12M,15.18M,13.00M,13.11M,30.20M,9.24M,8.00M,45.38M,22.24M,21.12M,9.45M,6.62M,7.43M,0.69,0.21,0.18,1.26M,608.31K,68.90K,51.15K,136.00K,867.31K,1.98M,1.73M,513.02K,1.21M,472.31K,798.41K,,,,0.91,0.94,1.79,8.92,16.96,282.25,0.37,1.12,2.54,18.19M,15.71M,25.86M,,,255.11,20.41,61.24,13.23,29.34,104.99,33.25,25.43,90.01,28.18,15.08,13.04,17.64,32.18,31.06,23.73,5.75,4.25,0.93,87.18,189.51,26.38,0.37,0.2,0.14,0.87,0.56,0.47,1.76,2.2,2.45,0.23,0.32,0.5,0.21,0.3,0.35,0.31,0.72,0.93,0.1,0.1,0.04
3,3,JAGX,PharmaG,4.42M,5.78M,9.38M,25.61M,24.30M,26.65M,32.15M,38.54M,33.81M,459.82,27.02,459.82,23.87M,22.37M,24.37M,41.04M,36.41M,42.84M,26.66M,15.84M,25.64M,14.38M,20.57M,17.20M,41.04M,36.41M,42.84M,16.08M,7.57M,16.21M,17.42,0.49,0.44,22.73M,20.32M,14.94M,6.53K,0,7.00K,24.55M,21.64M,19.16M,22.74M,20.32M,14.95M,,,,0.76,0.69,3.36,,,,2.76,4.88,5.5,25.88M,19.27M,39.61M,,,,75.93,99.52,85.32,203.17,220.53,179.03,150.83,217.73,133.52,37.37,33.93,65.05,579.99,420.75,283.93,540.42,387.36,259.64,727.92,667.32,360.25,0.18,0.48,1.14,0.31,0.62,1.35,1.02,1.39,1.34,0.1,0.15,0.24,0.39,0.21,0.38,1.12,0.37,0.94,0,0.01,0.29
4,4,LFVN,PharmaG,225.96M,232.91M,220.18M,9.81M,15.47M,17.61M,7.43M,11.55M,12.89M,0.5,0.79,0.5,11.71M,20.57M,23.44M,55.27M,58.88M,78.73M,28.07M,25.62M,41.92M,27.20M,33.25M,36.81M,55.27M,58.88M,78.73M,1.45M,1.18M,18.18M,1.93,2.32,2.7,17.79M,21.02M,18.19M,4.51M,2.68M,3.73M,11.12M,15.12M,13.37M,15.28M,18.34M,14.45M,26.17,17.09,8.13,0.86,0.85,0.48,10.93,9.39,5.77,6.74,5.82,2.72,177.07M,176.42M,99.88M,15.12,8.52,3.49,13.96,20.23,18.74,30.23,38.21,36.81,28.27,38.21,29.95,83.19,83.7,82.66,4.34,6.64,8,5.18,8.83,10.65,3.29,4.96,5.86,1.12,1.2,1.27,1.65,1.75,1.91,2.77,2.75,2.54,4.25,4.08,3.2,0.03,0.02,0.23,0.05,0.04,0.49,0,0,0.2
5,5,RDY,PharmaG,2.20B,2.46B,2.56B,280.00M,403.87M,431.44M,268.72M,274.98M,232.21M,1.62,1.66,1.62,454.29M,579.77M,603.81M,3.25B,3.07B,3.63B,1.23B,1.02B,1.26B,2.02B,2.05B,2.37B,3.25B,3.07B,3.63B,554.04M,292.16M,414.53M,12.21,12.36,14.28,398.58M,412.50M,479.58M,121.64M,83.76M,321.68M,281.93M,332.14M,13.78M,299.14M,344.16M,348.37M,25.01,24.31,43.84,3.06,2.72,4,16.89,16.24,21.29,3.32,3.26,4.3,6.93B,6.65B,10.15B,15.25,11.47,16.81,8.01,8.7,6.93,13.56,13.5,10.52,11.52,12.48,10.28,50.7,50.45,50.78,12.73,16.4,16.88,20.65,23.54,23.63,12.22,11.17,9.09,1.36,1.31,1.23,1.92,1.79,1.78,2.33,2.57,2.32,0.66,0.78,0.76,0.17,0.1,0.11,0.27,0.14,0.18,0.1,0.01,0.02
6,6,TARO,PharmaG,669.89M,644.77M,548.97M,292.52M,246.54M,145.15M,281.78M,244.24M,386.65M,7.23,6.35,7.23,311.11M,267.92M,168.83M,2.14B,2.34B,2.41B,224.20M,231.49M,711.42M,1.91B,2.11B,1.70B,2.14B,2.34B,2.41B,0,1.51M,1.69M,49.44,54.99,44.92,323.77M,269.95M,40.45M,257.14M,298.16M,67.74M,588.85M,26.98M,24.20M,296.75M,243.31M,23.46M,14.96,9.64,,6.29,3.65,5.13,13.02,8.72,69.66,2.19,1.11,1.64,3.17B,1.25B,1.79B,10.19,4.67,10.59,12.34,10.91,16.29,13.71,12.18,20.31,13.71,12.18,20.31,66.54,62,54.04,43.67,38.24,26.44,46.44,41.55,30.75,42.06,37.88,70.43,6.15,6.19,1.91,6.84,6.88,2.17,1.52,1.61,1.5,0.29,0.29,0.23,0,0,0,0,0,0,0,0,0
7,7,TEVA,PharmaG,18.27B,16.87B,16.66B,2.87B,2.71B,3.06B,2.15B,999.00M,3.99B,2.35,0.92,2.35,4.71B,4.43B,4.62B,60.68B,57.47B,50.64B,44.89B,42.41B,39.58B,15.79B,15.06B,11.06B,60.68B,57.47B,50.64B,28.92B,27.46B,26.40B,13.49,12.79,9.15,4.18B,2.23B,2.62B,131.00M,132.00M,542.00M,3.35B,1.93B,1.89B,3.53B,1.71B,2.04B,,,,0.86,0.63,0.63,3.77,4.78,4.03,1.14,0.77,1.05,43.96B,37.27B,35.82B,9.33,8.29,7.66,3.54,1.69,7.38,14.62,6.97,33.25,5.19,2.49,11.05,45.41,44.58,46.38,15.7,16.04,18.36,25.78,26.24,27.7,11.77,5.92,23.95,0.63,0.66,0.65,0.96,0.98,0.99,2.11,2.04,2.02,0.3,0.29,0.31,0.48,0.48,0.52,1.83,1.82,2.39,0.44,0.43,0.46
8,8,TXMD,PharmaG,16.10M,49.65M,64.87M,130.22M,151.21M,155.54M,132.62M,176.14M,183.52M,0.59,0.71,0.59,129.93M,148.75M,150.07M,211.98M,265.99M,181.61M,114.46M,256.78M,305.61M,97.52M,9.20M,124.00M,211.98M,265.99M,181.61M,73.38M,205.28M,248.63M,0.41,0.03,0.41,106.81M,165.70M,159.47M,21.50M,23.91M,1.60M,162.79M,188.83M,80.72M,107.03M,168.15M,159.68M,,,,53.25,12.01,5.14,,,,9.39,71.32,,769.12M,640.63M,501.68M,,,,74.67,73.71,82,116.62,330.09,,88.17,91.77,109.45,81.17,86.01,73.77,808.85,304.56,239.76,807.02,299.62,231.33,823.74,354.8,282.9,4.42,3.7,2.03,4.5,3.92,2.17,1.28,0.92,1.71,0.09,0.21,0.29,0.35,0.77,1.37,0.75,22.31,2.01,0.35,0.77,1.36
9,9,ZTS,PharmaG,5.83B,6.26B,6.67B,1.88B,2.02B,2.27B,1.43B,1.50B,1.64B,2.93,3.11,2.93,2.19B,2.43B,2.71B,10.78B,11.54B,13.61B,8.59B,8.84B,9.84B,2.19B,2.71B,3.77B,10.78B,11.54B,13.61B,6.45B,6.65B,7.40B,4.56,5.69,7.93,1.79B,1.79B,2.13B,2.29B,504.00M,569.00M,559.00M,951.00M,120.00M,1.45B,1.33B,1.67B,29.17,42.51,48.35,7.15,10.19,11.87,23.27,35.52,37.25,18.77,23.24,20.87,46.40B,68.48B,83.01B,21.2,28.1,30.55,14.75,13.44,13.02,72.21,61.31,50.58,18.6,17.19,16.93,65.18,65.7,66.79,32.29,32.24,33.99,37.58,38.82,40.6,24.52,23.96,24.54,2.46,1.85,2.3,3.6,2.63,3.05,1.44,1.53,1.46,0.6,0.56,0.53,0.6,0.58,0.54,2.95,2.45,1.96,0.6,0.53,0.5
