Name,Yearly Performance,Volatility
A,46.90515201,3.84811417
AADI,-7.61384335,24.79166667
ABBV,17.34704163,0.97129104
ABCL,-72.22410866,4.64240903
ABEO,-31.9453125,6.00162866
ABIO,-38.16793893,2.05774975
ABMD,30.30785759,2.82871069
ABOS,-46.61691542,12.38185255
ABT,15.7703874,1.67000926
ABUS,-7.47922438,4.45832436
ABVC,-14.5,6.26865672
ACAD,-62.99511666,5.40401441
ACER,-14.59074733,4.20168067
ACET,-29.44277108,3.05676856
ACHL,-66.4652568,3.99274047
ACHV,-14.11764706,3.54299313
ACIU,11.21856867,4.83870968
ACOR,-28.47469104,6.56716418
ACRS,334.9693252,3.04748405
ACRX,-52.03378378,12.04111601
ACXP,-37.64258555,9.72916667
ADAG,-67.82260754,11.47133745
ADAP,-10.1659751,4.89260143
ADCT,-24.24685581,4.86358244
ADIL,86.5497076,4.83870968
ADMA,-17.55319149,7.43243243
ADMP,160.1226994,11.10082305
ADMS,90.42056075,0.86100861
ADTX,-33.86243386,13.44537815
ADVM,-82.30452675,3.33333333
ADXS,5.46656496,11.4308135
AEMD,100.6756757,2.71186441
AERI,-11.13671275,4.50892857
AFIB,-85.58451817,6.1971831
AFMD,37.52808989,4.02289177
AGE,-44.12587413,4.56140351
AGEN,-6.34517766,8.91812865
AGIO,2.7265842,3.83833249
AGLE,-26.18025751,8.22619048
AGRX,-75.08532423,5.35962233
AGTC,-45.26558891,6.23275862
AHPI,-10.12433393,6.35245902
AIKI,42.24299065,4.48
AIM,-15.02590674,6.21118012
AIRS,1.76211454,9.09090909
AKBA,4.02930403,2.85714286
AKRO,-14.89289357,4.64083939
AKTX,-1.20481928,3.77358491
AKUS,-55.66853076,8.65826028
AKYA,-48.4452975,3.73076923
ALBO,-25.71669477,8.75954198
ALDX,28.50746269,2.71546635
ALEC,67.31651376,5.30018762
ALGN,52.65629846,1.90721649
ALGS,-17.4,4.08785845
ALIM,6.92307692,5.08166969
ALKS,29.05165346,3.45884413
ALLK,-19.19590067,2.47881096
ALLO,-41.44498186,5.57216635
ALNA,-44.82758621,4.9875
ALNY,33.75096674,2.86841795
ALPN,69.54377312,5.84166026
ALRN,-27.35849057,10.52631579
ALT,17.56046267,3.30882353
ALVR,-27.97297297,6.12045842
ALZN,-83.18518519,4.86363636
AMAM,-29.5601173,11.36752137
AMGN,-11.63741181,1.83660545
AMPE,56.36363636,3.96825397
AMPH,10.4989605,1.94959582
AMRN,-9.47136564,15.26908636
AMRX,15.65420561,4.4534413
AMTI,-26.63642255,4.61187215
ANAB,19.33909125,5.16677567
ANEB,-3.66197183,4.53172205
ANGN,-75.14688602,4.03800475
ANGO,137.6508447,2.99756013
ANIK,6.67556742,3.86538462
ANIP,54.85773768,3.4490635
ANIX,106.5420561,5.39074887
ANNX,-35.48795944,7.63513514
ANPC,-49.85337243,8.57843137
ANVS,446.5463168,5.88447653
APDN,-26.24113475,3.7254902
APEN,317.768595,5.16194332
APLS,14.20606061,14.41947566
APLT,-16.05370695,3.94831299
APM,-1.36363636,4.18604651
APRE,-77.55886593,7.82997763
APT,-58.66983373,3.55029586
APVO,-76.95453452,9.04148936
APYX,146.9808542,5.57275542
AQB,-8.62944162,3.98860399
AQST,-2.90322581,4.70487596
ARAV,-38.62520458,6.72043011
ARAY,43.85964912,3.11848831
ARCT,-29.65543212,6.25353707
ARDS,-58.788774,6.89781022
ARDX,-81.51408451,6.66666667
ARMP,6.76923077,6.54761905
ARNA,-6.08317815,4.01441071
ARQT,-4.03071017,3.22272425
ARVN,224.8071458,5.37424395
ARWR,-9.69063427,5.65363872
ASLN,3.08641975,2.42424242
ASMB,-53.65418895,9.3385214
ASND,-1.69067001,4.28740003
ASRT,11.50568182,5.29801325
ATAI,-36.86375321,8.73469388
ATEC,20.25440313,6.08187135
ATHA,-39.53757225,13.02816901
ATHX,-23.7804878,17.54385965
ATNF,71.73219979,10.02506266
ATNM,-34.02146986,5.77663671
ATNX,-85.09406657,7.5
ATOS,67.7852349,4.89795918
ATRA,-14.85294118,7.03551494
ATRC,89.83639068,5.02311039
ATRI,29.55791012,0.61016254
ATRS,20,3.15186246
ATXI,-58.43373494,4.54545455
ATXS,-18.20330969,7.99418605
AUPH,103.3210332,8.61280488
AURA,68.17567568,28.58196117
AUTL,-37.33213966,6.9591528
AUVI,2.97619048,5.31496063
AVCO,-14.04958678,3.92156863
AVDL,47.37588652,8.26086957
AVEO,19.89881956,4.18317795
AVGR,147.829233,6.19402985
AVIR,-65.93703148,3.88437218
AVNS,-21.03793344,2.69532277
AVRO,-68.88753056,4.15019763
AVTE,-38.63337714,26.79738562
AVTX,-4.7008547,6.42201835
AVXL,316.6666667,5.73493976
AWH,-46.65226782,6.29904912
AXDX,-30.76923077,10.3960396
AXGN,-22.75409836,2.43266725
AXLA,-41.45873321,4.29042904
AXNX,38.49765258,7.66467066
AXSM,-53.2402529,9.53600911
AYLA,-3.64826941,12.76699029
AYTU,-76.26208378,11.87214612
AZYO,-55.01130369,17.67420397
BAX,-1.81975737,0.95971714
BBI,-31.89096454,7.42857143
BBIO,8.52090032,3.50616235
BBLG,-68.08247423,60.05961252
BCAB,-10.31592521,4.71243043
BCDA,5.80357143,4.57572136
BCEL,-65.09751177,3.7109375
BCLI,-21.64179104,7.79661017
BCRX,164.1921397,3.63247863
BCYC,189.656816,4.29157974
BDSI,-19.12144703,3.85232745
BDTX,-76.83890578,4.25675676
BDX,0.7012912,1.11440086
BEAM,135.0483155,7.05847953
BEAT,-91.5236717,6.07594937
BFLY,-11.90233978,20.61994609
BFRI,-34.92063492,17.77777778
BHVN,23.58666391,3.74642269
BIIB,5.12037298,4.20148739
BIO,30.10783536,3.38400722
BIOL,85.04883546,8.69634894
BIVI,-23,9.54465849
BJDX,-31.76691729,6.24715909
BLCM,-28.42105263,4
BLFS,61.77929324,7.23360656
BLPH,-57.96252927,5.88235294
BLUE,-61.41433586,3.73998219
BMEA,-36.93548387,4.34782609
BMRA,-30.38348083,6.01100198
BMRN,6.23284986,2.42700505
BMY,-8.11567164,1.84974359
BNGO,819.6478741,4.58333333
BNTC,24.72727273,3.29840438
BNTX,196.8480387,7.5063509
BOLT,-69.9533437,3.75
BON,-15.97222222,6.85618729
BPMC,16.52525253,2.43773185
BPTH,39.32926829,4.2172949
BRBR,29.06309751,1.81953212
BRKR,67.29233227,2.46658566
BSGM,-7.73067332,13.33333333
BSX,18.24150728,1.86643836
BTAI,-46.54039428,8.82924932
BTTX,-18.3,8.98876404
BTX,102.1048222,9.79865772
BVS,-20.71837585,4.16942422
BVXV,-23.67491166,4.16666667
BXRX,-59.53389831,8.43478261
BYSI,0.99009901,6.92640693
CABA,-11.45602365,5.90719118
CALA,-77.55555556,6.25
CAPR,-18.96955504,5.08982036
CARA,-5.1980198,3.50761085
CASI,-52,7.19915922
CBAY,-45.64102564,3.24129652
CBIO,-73.44827586,9.74025974
CCCC,41.57767826,4.79860766
CCEL,62.36842105,4.20168067
CCXI,-35.51027226,5.0157563
CDAK,63.57388316,12.0014771
CDMO,258.6132178,3.34023093
CDNA,-17.8200692,2.95503212
CDTX,-34.63035019,10.6918239
CEMI,-54.8245614,4
CERE,203.2565528,3.92572944
CERS,13.45852895,4.85021398
CFMS,55.28905289,9.84540277
CFRX,-34.95327103,17.9331307
CGEM,-31.26044801,6.4516129
CGEN,-61.91881919,6.75808031
CGTX,-17.46280345,11.66982922
CHEK,223.2212389,2.1865729
CHRS,6.92567568,3.7593985
CKPT,56.37860082,8.36653386
CLDX,135.9095689,5.71764706
CLGN,165.0448143,12.14041931
CLNN,-53.14232902,19.1321499
CLPT,62.2459893,7.56162558
CLRB,-30.34782609,11.03797468
CLSD,173.0994152,7.33333333
CLSN,59.02601213,6.175
CLVR,-52.84615385,8.75656743
CLVS,-12.5284738,3.43915344
CMMB,-56.02355072,5.27728178
CMPI,-66.09247507,8.33333333
CMPS,-3.1947122,6.29246677
CMPX,-54.94117647,6.68523677
CMRX,82.74853801,10.33274956
CNCE,-63.2819583,5.12820513
CNMD,51.42743062,1.8810236
CNSP,-40.79955426,32.14285714
CNTA,-42.34482759,5.60669456
CNTB,-29.15089237,7.17039322
COCP,5.60548723,4.59770115
CODX,-17.83010934,5.11727079
COGT,10.81359423,5.23255814
COLL,2.42392986,2.98734177
COO,25.04436757,1.2814028
CORT,29.15742794,3.38164251
CPHI,52.05933453,4.4603842
CPIX,-11.26279863,5.38076923
CPRX,117.4698795,8.7797619
CRBP,-10.83333333,3.73831776
CRBU,31.92401961,5.83976834
CRIS,338.28125,3.40501792
CRMD,-13.62126246,5.36779324
CRNX,105.9746079,4.21162444
CRSP,-20.25421387,3.18293693
CRTX,-71.47572816,5.53191489
CRVS,-13.87559809,4.44444444
CRXT,-52.45579568,23.75
CRY,-3.55204736,3.28652263
CSBR,-21.18027486,1.94871795
CSII,-29.2324442,5.61529271
CTIC,-22.3495702,5.83657588
CTKB,22.3347548,5.4479964
CTLT,25.17862246,4.39763634
CTMX,0.13550136,5.66572238
CTSO,-29.98859749,4.18760469
CTXR,90.43543383,2.25988701
CUE,47.79220779,8.73671783
CUTR,104.6639232,2.88926363
CVAC,-51.69303177,5.47788873
CVM,-0.68906115,3.97610619
CVRX,-42.14285714,14.0470297
CWBR,-43.26923077,17.85714286
CYAN,19.5130948,7.14285714
CYCC,34.85714286,2.5477707
CYCN,-4.72727273,5.49019608
CYTH,-32.66055046,17.23163842
CYTK,152.9980658,4.00925212
CYTO,171.3625866,11.62790698
DARE,61.46788991,4.70588235
DAWN,-17.41985323,8.09774796
DBTX,-58.34719911,6.43835616
DCPH,-86.09974231,3.1517165
DCTH,-16.74796748,6.23115578
DERM,-56.26666667,13.90243902
DFFN,-35.95204291,11.95001302
DHR,33.24177022,2.92360578
DICE,-7.42748712,9.26751592
DMAC,-8.76404494,9.38337802
DMTK,83.8659392,5.14609682
DNA,38.33992095,9.4761171
DNLI,-25.07799733,3.09509265
DRIO,31.74089069,7.99484204
DRMA,-5.78034682,10.6918239
DRNA,-8.7403599,4.02491615
DRRX,-36.11111111,8.55855856
DTIL,0.31023785,5.42299349
DVAX,272.2342733,4.83005367
DXCM,93.81785554,2.34210321
DXR,-21.43357143,3.18949343
DYAI,-42.20183486,8.09840426
DYN,-21.42105263,3.42465753
DYNT,132.5183792,8.15963207
EAR,-78.56076441,9.0504451
EBS,-52.11581292,8.58611825
